"Date","Source","Site ID","POC","Daily Mean PM2.5 Concentration","UNITS","DAILY_AQI_VALUE","Site Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"04/06/2018","AQS","420031376","1","6.5","ug/m3 LC","27","Parkway East Near-Road","1","100.0000","88101","PM2.5 - Local Conditions","38300","Pittsburgh, PA","42","Pennsylvania","003","Allegheny","40.43743","-79.863572"
"04/07/2018","AQS","420031376","1","6.2","ug/m3 LC","26","Parkway East Near-Road","1","100.0000","88101","PM2.5 - Local Conditions","38300","Pittsburgh, PA","42","Pennsylvania","003","Allegheny","40.43743","-79.863572"
"04/08/2018","AQS","420031376","1","7.7","ug/m3 LC","32","Parkway East Near-Road","1","100.0000","88101","PM2.5 - Local Conditions","38300","Pittsburgh, PA","42","Pennsylvania","003","Allegheny","40.43743","-79.863572"
"04/09/2018","AQS","420031376","1","11","ug/m3 LC","46","Parkway East Near-Road","1","100.0000","88101","PM2.5 - Local Conditions","38300","Pittsburgh, PA","42","Pennsylvania","003","Allegheny","40.43743","-79.863572"
"04/10/2018","AQS","420031376","1","11.4","ug/m3 LC","48","Parkway East Near-Road","1","100.0000","88101","PM2.5 - Local Conditions","38300","Pittsburgh, PA","42","Pennsylvania","003","Allegheny","40.43743","-79.863572"
"04/11/2018","AQS","420031376","1","17.1","ug/m3 LC","62","Parkway East Near-Road","1","100.0000","88101","PM2.5 - Local Conditions","38300","Pittsburgh, PA","42","Pennsylvania","003","Allegheny","40.43743","-79.863572"
"04/12/2018","AQS","420031376","1","10.4","ug/m3 LC","43","Parkway East Near-Road","1","100.0000","88101","PM2.5 - Local Conditions","38300","Pittsburgh, PA","42","Pennsylvania","003","Allegheny","40.43743","-79.863572"
"04/13/2018","AQS","420031376","1","14.6","ug/m3 LC","56","Parkway East Near-Road","1","100.0000","88101","PM2.5 - Local Conditions","38300","Pittsburgh, PA","42","Pennsylvania","003","Allegheny","40.43743","-79.863572"
"04/14/2018","AQS","420031376","1","21.5","ug/m3 LC","71","Parkway East Near-Road","1","100.0000","88101","PM2.5 - Local Conditions","38300","Pittsburgh, PA","42","Pennsylvania","003","Allegheny","40.43743","-79.863572"
"04/15/2018","AQS","420031376","1","8.7","ug/m3 LC","36","Parkway East Near-Road","1","100.0000","88101","PM2.5 - Local Conditions","38300","Pittsburgh, PA","42","Pennsylvania","003","Allegheny","40.43743","-79.863572"
